YEAR,COUNTYFIPS,COUNTY,STATE,lon,lat,ACS_TOT_CIVIL_EMPLOY_POP,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,ACS_PCT_UNINSURED,HIFLD_MIN_DIST_UC,POS_MIN_DIST_ED,POS_MIN_DIST_ALC,albumin_urine,bun,creatinine_serum,creatinine_urine,color_ACS_PCT_HH_PUB_ASSIST,color_ACS_TOT_CIVIL_EMPLOY_POP,color_ACS_PCT_LT_HS,color_ACS_PCT_UNINSURED,color_HIFLD_MIN_DIST_UC,color_ACS_PCT_GRANDP_NO_RESPS,color_albu_urine,color_bun,color_crea_serum,color_crea_urine
2020,72001,Adjuntas,Puerto Rico,-66.75,18.175,3837.0,55.24,21.9,47.53,76.52,10.75,11.39,1.34,56.02,20.56,13.82,2.63,2.43,28.2,34.99,36.81,6.51,7.18,4.08,11.34,21.32915133724723,17.366096256684493,0.971246303337558,125.81030701754386,15724021,5515151,16579581,12369372,10394312,8420794,"rgb(146,46,3)","rgb(241,105,19)","rgb(146,46,3)","rgb(253,141,60)"
2020,72003,Aguada,Puerto Rico,-67.175,18.365,10960.0,47.72,12.97,34.39,62.89,16.78,15.72,4.61,52.73,19.17,15.54,0.78,5.0,26.19,34.1,39.7,5.62,5.09,2.66,21.03,14.484002043596732,17.533811780636427,0.9103090943254416,113.46023765996344,13356003,12369372,16579581,9407425,7694254,5515151,"rgb(217,72,1)","rgb(229,88,10)","rgb(253,141,60)","rgb(254,219,184)"
2020,72005,Aguadilla,Puerto Rico,-67.115,18.465,13709.0,65.39,16.11,48.78,62.4,13.0,18.26,6.34,47.07,20.44,17.08,1.23,6.85,29.62,26.0,44.38,5.16,0.61,0.61,26.96,7.459676007005255,17.773808545603945,0.9454694736842104,120.64862470862472,9407425,15000560,11381714,7694254,4787846,13356003,"rgb(253,208,162)","rgb(217,72,1)","rgb(191,63,2)","rgb(253,208,162)"
2020,72007,Aguas Buenas,Puerto Rico,-66.13,18.25,8278.0,72.38,14.71,38.15,57.38,21.32,17.02,4.29,47.97,22.75,14.5,0.0,2.89,32.57,27.28,40.14,7.65,4.06,4.04,3.93,8.161645951035783,16.848390062111804,0.9246449704142012,109.32483766233769,9407425,10394312,13356003,15000560,6967715,15724021,"rgb(253,191,134)","rgb(253,174,107)","rgb(241,105,19)","rgb(255,237,220.5)"
2020,72009,Aibonito,Puerto Rico,-66.255,18.135,7010.0,59.03,12.36,31.31,61.16,17.24,16.56,5.05,46.58,19.99,15.22,1.9,7.79,35.4,21.6,43.0,4.27,0.35,0.16,0.16,5.466233333333334,18.709898989898992,0.91429483459083,110.84897435897436,8420794,8420794,6241433,5515151,4128893,11381714,"rgb(255,237,220.5)","rgb(146,46,3)","rgb(247,123,39)","rgb(255,237,220.5)"
2020,72013,Arecibo,Puerto Rico,-66.67,18.42,23353.0,67.44,14.18,36.64,61.19,17.37,17.39,4.05,49.64,23.99,18.2,2.15,5.66,29.61,22.54,47.85,6.22,8.17,0.07,24.58,16.000999415478137,18.75077247050172,1.0375723200836178,121.93140809011776,11381714,16119033,7694254,11381714,11381714,15000560,"rgb(191,63,2)","rgb(127,39,4)","rgb(127,39,4)","rgb(253,191,134)"
2020,72015,Arroyo,Puerto Rico,-66.05,17.98,3727.0,78.82,10.6,53.1,66.6,16.84,13.97,2.59,54.99,22.41,15.68,0.0,3.02,35.4,23.49,41.11,3.97,14.95,0.64,12.23,24.64409653916212,16.01723014256619,0.9020054570259208,125.90691699604744,15000560,5515151,8420794,4787846,15724021,16119033,"rgb(146,46,3)","rgb(254,230,206)","rgb(253,174,107)","rgb(247,123,39)"
2020,72011,Añasco,Puerto Rico,-67.12,18.29,8260.0,50.59,12.66,30.24,60.86,15.16,20.17,3.81,52.24,20.32,13.49,1.51,3.52,30.94,31.72,37.33,4.54,10.73,4.94,17.63,0.0,0.0,0.0,0.0,13356003,9407425,16119033,6241433,13356003,6967715,"rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)"
2020,72017,Barceloneta,Puerto Rico,-66.56,18.45,6641.0,63.88,11.68,44.4,61.79,14.06,20.97,3.18,47.79,19.18,17.79,4.76,4.68,31.93,26.42,41.64,5.93,4.02,4.02,25.51,12.564707098937957,16.904285390713476,0.929301215277778,143.45705426356588,9407425,7694254,12369372,9407425,6241433,13356003,"rgb(217,72,1)","rgb(253,157,83)","rgb(229,88,10)","rgb(127,39,4)"
2020,72019,Barranquitas,Puerto Rico,-66.305,18.2,7417.0,53.96,22.66,45.1,67.78,12.84,16.05,3.33,54.02,24.61,14.81,3.62,5.05,29.29,26.25,44.46,4.17,4.31,4.52,4.52,6.67493157460841,16.9573968376398,0.8498121730860675,123.74932515337424,15000560,8420794,12369372,5515151,6967715,7694254,"rgb(254,219,184)","rgb(253,157,83)","rgb(255,237,220.5)","rgb(253,157,83)"
2020,72021,Bayamón,Puerto Rico,-66.165,18.35,63810.0,56.38,10.86,31.48,46.2,17.07,26.68,10.05,31.59,28.62,21.39,2.92,7.88,23.86,18.25,57.89,8.16,2.36,0.08,0.2,9.769815326381098,17.28882345434824,0.89873984780859,122.36924496898168,4787846,16579581,4787846,15724021,6241433,9407425,"rgb(247,123,39)","rgb(247,123,39)","rgb(253,174,107)","rgb(253,174,107)"
2020,72023,Cabo Rojo,Puerto Rico,-67.145,18.03,13634.0,51.11,22.46,39.96,66.48,12.6,16.54,4.38,40.03,20.04,19.56,2.97,6.25,25.67,28.48,45.86,4.98,22.29,0.72,0.72,6.1992601106594405,17.85425338883552,0.9228401748384644,111.07502104630188,5515151,15000560,15000560,6967715,16579581,7694254,"rgb(254,230,206)","rgb(191,63,2)","rgb(241,105,19)","rgb(254,230,206)"
2020,72025,Caguas,Puerto Rico,-66.05,18.225,45594.0,49.69,11.37,30.6,47.73,16.37,25.3,10.6,37.12,23.33,22.93,1.34,9.7,26.68,17.36,55.96,6.81,0.17,0.17,3.89,5.240023658395846,17.37949702789209,0.9219595251600357,98.93745264532984,5515151,16579581,4787846,13356003,4128893,6967715,"rgb(255,237,220.5)","rgb(229,88,10)","rgb(247,123,39)","rgb(255,237,220.5)"
2020,72027,Camuy,Puerto Rico,-66.865,18.425,9257.0,42.88,13.78,39.23,61.84,14.38,19.02,4.76,51.19,25.99,15.9,0.0,5.67,24.97,27.48,47.56,5.38,16.73,7.24,28.86,6.476930878552972,19.91848289315726,1.0575669191919193,113.18781201848998,12369372,11381714,13356003,8420794,16119033,4787846,"rgb(254,230,206)","rgb(127,39,4)","rgb(127,39,4)","rgb(254,219,184)"
2020,72029,Canóvanas,Puerto Rico,-65.885,18.33,14698.0,83.32,10.23,31.77,55.27,16.55,18.74,9.45,47.27,21.97,16.44,4.5,7.47,30.25,23.86,45.89,11.29,0.24,4.75,11.84,11.193220395840324,16.99128991859737,0.8880324623911322,132.98408069883527,9407425,15000560,8420794,16579581,4128893,16579581,"rgb(241,105,19)","rgb(253,157,83)","rgb(253,208,162)","rgb(217,72,1)"
2020,72031,Carolina,Puerto Rico,-65.955,18.385,57707.0,62.87,9.43,26.41,42.78,18.78,28.1,10.33,29.61,26.86,24.11,3.96,9.05,26.02,13.96,60.02,8.28,1.27,0.32,4.97,12.279690352762676,16.274845808102878,0.8871767886200199,122.61746098915631,4128893,16579581,4128893,15724021,5515151,12369372,"rgb(229,88,10)","rgb(254,219,184)","rgb(254,219,184)","rgb(253,174,107)"
2020,72033,Cataño,Puerto Rico,-66.145,18.435,7525.0,50.44,16.58,45.71,57.73,14.87,17.82,9.58,45.36,22.42,13.83,4.69,6.54,32.87,24.34,42.78,7.5,5.6,2.19,2.28,14.645995623632386,16.775494211932322,0.9061080332409972,122.41681440443212,7694254,9407425,9407425,15000560,8420794,6967715,"rgb(191,63,2)","rgb(253,191,134)","rgb(253,157,83)","rgb(253,174,107)"
2020,72035,Cayey,Puerto Rico,-66.145,18.105,13357.0,64.81,10.79,33.7,53.1,14.66,23.49,8.75,37.63,19.97,18.99,1.32,7.23,31.5,22.31,46.2,7.07,4.7,0.39,2.65,9.696931791889345,18.22085629057729,0.9564286312264546,125.94655870445344,5515151,14342891,6967715,14342891,6967715,13356003,"rgb(253,141,60)","rgb(166,54,3)","rgb(191,63,2)","rgb(247,123,39)"
2020,72037,Ceiba,Puerto Rico,-65.66,18.245,3356.0,29.17,14.68,25.57,60.01,22.92,11.82,5.26,45.72,23.29,16.04,0.0,3.6,31.04,26.03,42.93,5.23,17.08,3.84,29.96,8.702062440870389,17.43105359317905,0.8963530408984955,128.05862903225807,8420794,4787846,11381714,7694254,16119033,4128893,"rgb(253,191,134)","rgb(229,88,10)","rgb(253,191,134)","rgb(241,105,19)"
2020,72039,Ciales,Puerto Rico,-66.515,18.3,3674.0,72.89,20.31,33.24,68.43,18.27,10.84,2.46,57.32,23.47,12.36,2.82,3.19,29.89,31.09,39.02,4.25,6.38,6.38,18.0,10.422283508338484,17.7506107275624,0.9195315141270224,126.38632653061224,16579581,4787846,16119033,5515151,9407425,16119033,"rgb(247,123,39)","rgb(217,72,1)","rgb(247,123,39)","rgb(247,123,39)"
2020,72041,Cidra,Puerto Rico,-66.16,18.18,11746.0,48.92,17.32,27.56,59.69,16.24,17.99,6.08,41.41,21.58,16.71,2.07,7.7,31.26,22.76,45.99,5.33,4.92,2.62,0.51,6.914688259109313,17.350244231093143,0.9141753786028334,115.26368700265252,6241433,14342891,7694254,8420794,7694254,6241433,"rgb(253,208,162)","rgb(241,105,19)","rgb(247,123,39)","rgb(254,219,184)"
2020,72043,Coamo,Puerto Rico,-66.355,18.1,11412.0,57.68,15.23,37.58,60.23,15.68,19.3,4.79,48.1,19.0,16.3,0.0,4.68,38.94,21.08,39.98,4.19,5.23,5.25,5.25,17.112465826466313,16.992150655021835,0.9144247389268996,140.97264462809918,10394312,13356003,5515151,5515151,7694254,9407425,"rgb(191,63,2)","rgb(253,141,60)","rgb(247,123,39)","rgb(146,46,3)"
2020,72045,Comerío,Puerto Rico,-66.215,18.23,5355.0,78.13,25.58,40.79,70.0,16.04,12.53,1.43,57.83,31.48,11.87,1.51,2.61,25.03,29.01,45.96,6.24,5.95,6.23,4.31,13.905932806324111,16.64585401459854,0.8738835877862596,120.97199999999998,16579581,6241433,15000560,11381714,8420794,16119033,"rgb(217,72,1)","rgb(253,208,162)","rgb(254,230,206)","rgb(253,191,134)"
2020,72047,Corozal,Puerto Rico,-66.325,18.31,8576.0,68.77,21.92,41.99,63.06,14.79,20.13,2.02,56.67,23.57,15.88,2.27,5.02,27.05,28.48,44.47,5.94,10.12,8.12,8.73,13.954053738317755,15.966686746987952,0.8695595238095238,124.52796833773088,16119033,10394312,15000560,10394312,12369372,15000560,"rgb(217,72,1)","rgb(254,230,206)","rgb(254,230,206)","rgb(253,141,60)"
2020,72049,Culebra,Puerto Rico,-65.285,18.32,619.0,26.0,4.48,0.0,45.76,31.32,16.07,6.85,23.15,25.36,15.68,0.0,2.04,34.62,22.3,43.08,12.62,35.42,19.28,48.56,9.432666666666668,15.839448275862068,0.8434567901234569,112.448125,4128893,4128893,6967715,16579581,16579581,4128893,"rgb(253,157,83)","rgb(255,237,220.5)","rgb(255,237,220.5)","rgb(254,230,206)"
2020,72051,Dorado,Puerto Rico,-66.265,18.435,11703.0,50.75,13.53,24.82,44.54,12.28,25.87,17.31,33.56,21.96,20.9,4.46,10.26,27.76,19.11,53.12,5.83,11.81,6.64,8.35,11.268057471264369,16.414730130486358,0.8799294661315822,120.9408545034642,4787846,13356003,5515151,9407425,13356003,7694254,"rgb(229,88,10)","rgb(253,208,162)","rgb(254,219,184)","rgb(253,191,134)"
2020,72053,Fajardo,Puerto Rico,-65.675,18.32,9634.0,26.2,11.48,43.61,60.12,17.06,17.81,5.01,43.27,20.33,21.23,5.82,6.35,33.36,18.73,47.91,8.46,15.69,0.15,28.93,10.399379844961242,17.542138157894737,0.893791569086651,133.22149346180316,6967715,11381714,5515151,16119033,16119033,4128893,"rgb(247,123,39)","rgb(217,72,1)","rgb(253,208,162)","rgb(217,72,1)"
2020,72054,Florida,Puerto Rico,-66.56,18.37,3545.0,74.76,8.88,49.43,67.73,13.29,17.16,1.82,55.6,26.43,12.97,0.0,3.12,34.84,22.65,42.51,3.91,6.14,6.14,23.75,0.0,0.0,0.0,0.0,15724021,4787846,7694254,4787846,9407425,16119033,"rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)"
2020,72057,Guayama,Puerto Rico,-66.13,18.0,9543.0,69.78,14.11,44.66,61.31,16.6,17.54,4.55,53.05,17.31,16.13,0.0,5.92,37.8,22.84,39.36,6.29,12.77,0.13,10.36,8.65595297932712,16.379907844718353,0.896488848011037,126.9974765100671,14342891,11381714,8420794,11381714,15000560,15000560,"rgb(253,191,134)","rgb(254,219,184)","rgb(253,191,134)","rgb(247,123,39)"
2020,72059,Guayanilla,Puerto Rico,-66.79,18.04,4481.0,53.38,12.72,37.55,67.64,16.9,14.83,0.63,51.74,21.04,19.22,0.0,5.37,31.53,22.84,45.63,3.56,0.48,3.77,11.03,12.503307692307692,17.96181781620752,0.9449758963543236,137.24718137254902,12369372,5515151,8420794,4128893,4787846,7694254,"rgb(229,88,10)","rgb(166,54,3)","rgb(217,72,1)","rgb(166,54,3)"
2020,72061,Guaynabo,Puerto Rico,-66.115,18.345,34924.0,46.73,8.34,19.15,35.0,13.04,26.48,25.49,22.49,22.79,29.01,2.49,16.91,16.81,14.49,68.71,6.91,0.48,0.1,0.44,10.582474554294976,17.316781718963167,0.906173123641478,112.9578112712975,4128893,16119033,4128893,13356003,4787846,5515151,"rgb(241,105,19)","rgb(247,123,39)","rgb(253,157,83)","rgb(254,219,184)"
2020,72063,Gurabo,Puerto Rico,-65.97,18.26,18011.0,58.47,9.84,23.35,37.99,19.08,28.08,14.85,31.28,23.64,22.04,4.64,11.33,24.94,18.06,57.0,8.08,2.26,2.22,10.35,5.402462732919255,16.689132118777795,0.8943637660485021,127.3928680981595,4787846,15724021,4787846,15724021,6241433,10394312,"rgb(255,237,220.5)","rgb(253,191,134)","rgb(253,208,162)","rgb(241,105,19)"
2020,72055,Guánica,Puerto Rico,-66.91,17.99,3070.0,66.03,23.12,53.5,77.17,11.72,10.21,0.9,57.57,17.76,12.51,9.64,3.24,35.93,30.56,33.51,4.17,6.74,3.52,15.41,18.24483913934426,17.79724312184166,0.9579385810095306,127.18651515151517,16579581,4787846,15724021,5515151,10394312,14342891,"rgb(166,54,3)","rgb(191,63,2)","rgb(166,54,3)","rgb(241,105,19)"
2020,72065,Hatillo,Puerto Rico,-66.8,18.42,12681.0,63.06,17.45,30.09,58.64,15.09,21.14,5.13,50.33,24.64,19.61,0.0,7.3,23.0,25.45,51.55,6.65,19.79,3.66,26.47,10.042560146923783,19.00721548650025,1.0421040142376905,121.98337133550488,11381714,14342891,10394312,12369372,16579581,12369372,"rgb(247,123,39)","rgb(127,39,4)","rgb(127,39,4)","rgb(253,191,134)"
2020,72067,Hormigueros,Puerto Rico,-67.11,18.135,4953.0,62.61,8.51,31.75,59.37,12.61,24.71,3.31,41.63,22.21,18.65,1.92,5.3,31.32,22.52,46.16,3.94,20.99,3.3,8.06,0.0,0.0,0.0,0.0,6241433,6241433,7694254,4787846,16579581,12369372,"rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)"
2020,72069,Humacao,Puerto Rico,-65.81,18.14,15221.0,54.78,9.6,32.58,56.52,16.94,18.48,8.06,40.4,22.25,17.38,1.38,6.9,32.74,20.73,46.53,4.39,13.17,0.39,19.35,10.53882372881356,17.310413181242076,0.936739541382428,129.82162217659138,5515151,15724021,5515151,6241433,15000560,8420794,"rgb(241,105,19)","rgb(247,123,39)","rgb(217,72,1)","rgb(229,88,10)"
2020,72071,Isabela,Puerto Rico,-67.0,18.46,11196.0,71.86,22.22,39.83,66.5,15.71,13.71,4.08,46.93,19.31,17.35,1.62,6.67,27.65,29.01,43.34,6.03,5.43,5.43,30.31,8.159345300261098,16.929559633027523,0.9379476621831824,124.05613452188004,8420794,13356003,15000560,10394312,7694254,15724021,"rgb(253,191,134)","rgb(253,157,83)","rgb(217,72,1)","rgb(253,141,60)"
2020,72073,Jayuya,Puerto Rico,-66.585,18.2,3320.0,93.23,21.99,47.12,73.97,13.7,9.99,2.35,63.3,19.56,14.48,0.0,5.95,37.65,22.36,39.99,6.96,12.92,7.9,12.61,42.5365,17.019787338059153,0.9558377853326856,139.25368883312422,16579581,4787846,7694254,13356003,15000560,16579581,"rgb(127,39,4)","rgb(253,141,60)","rgb(191,63,2)","rgb(146,46,3)"
